x,BSpline1,f_exact(x)
-1.00000000,0.03846154,0.03846154
-0.99750000,0.03884615,0.03864711
-0.99500000,0.03923077,0.03883401
-0.99250000,0.03961538,0.03902225
-0.99000000,0.04000000,0.03921184
-0.98750000,0.04038462,0.03940280
-0.98500000,0.04076923,0.03959514
-0.98250000,0.04115385,0.03978887
-0.98000000,0.04153846,0.03998401
-0.97750000,0.04192308,0.04018056
-0.97500000,0.04230769,0.04037855
-0.97250000,0.04269231,0.04057798
-0.97000000,0.04307692,0.04077888
-0.96750000,0.04346154,0.04098124
-0.96500000,0.04384615,0.04118510
-0.96250000,0.04423077,0.04139046
-0.96000000,0.04461538,0.04159734
-0.95750000,0.04500000,0.04180575
-0.95500000,0.04538462,0.04201570
-0.95250000,0.04576923,0.04222722
-0.95000000,0.04615385,0.04244032
-0.94750000,0.04653846,0.04265501
-0.94500000,0.04692308,0.04287131
-0.94250000,0.04730769,0.04308923
-0.94000000,0.04769231,0.04330879
-0.93750000,0.04807692,0.04353001
-0.93500000,0.04846154,0.04375291
-0.93250000,0.04884615,0.04397749
-0.93000000,0.04923077,0.04420378
-0.92750000,0.04961538,0.04443179
-0.92500000,0.05000000,0.04466155
-0.92250000,0.05038462,0.04489306
-0.92000000,0.05076923,0.04512635
-0.91750000,0.05115385,0.04536144
-0.91500000,0.05153846,0.04559834
-0.91250000,0.05192308,0.04583706
-0.91000000,0.05230769,0.04607764
-0.90750000,0.05269231,0.04632009
-0.90500000,0.05307692,0.04656442
-0.90250000,0.05346154,0.04681066
-0.90000000,0.05384615,0.04705882
-0.89750000,0.05423077,0.04730893
-0.89500000,0.05461538,0.04756101
-0.89250000,0.05500000,0.04781508
-0.89000000,0.05538462,0.04807115
-0.88750000,0.05576923,0.04832924
-0.88500000,0.05615385,0.04858939
-0.88250000,0.05653846,0.04885161
-0.88000000,0.05692308,0.04911591
-0.87750000,0.05730769,0.04938234
-0.87500000,0.05769231,0.04965089
-0.87250000,0.05807692,0.04992161
-0.87000000,0.05846154,0.05019450
-0.86750000,0.05884615,0.05046960
-0.86500000,0.05923077,0.05074693
-0.86250000,0.05961538,0.05102651
-0.86000000,0.06000000,0.05130836
-0.85750000,0.06038462,0.05159252
-0.85500000,0.06076923,0.05187899
-0.85250000,0.06115385,0.05216782
-0.85000000,0.06153846,0.05245902
-0.84750000,0.06192308,0.05275261
-0.84500000,0.06230769,0.05304864
-0.84250000,0.06269231,0.05334711
-0.84000000,0.06307692,0.05364807
-0.83750000,0.06346154,0.05395153
-0.83500000,0.06384615,0.05425752
-0.83250000,0.06423077,0.05456607
-0.83000000,0.06461538,0.05487721
-0.82750000,0.06500000,0.05519097
-0.82500000,0.06538462,0.05550737
-0.82250000,0.06576923,0.05582645
-0.82000000,0.06615385,0.05614823
-0.81750000,0.06653846,0.05647275
-0.81500000,0.06692308,0.05680003
-0.81250000,0.06730769,0.05713010
-0.81000000,0.06769231,0.05746301
-0.80750000,0.06807692,0.05779877
-0.80500000,0.06846154,0.05813742
-0.80250000,0.06884615,0.05847900
-0.80000000,0.06923077,0.05882353
-0.79750000,0.06961538,0.05917105
-0.79500000,0.07000000,0.05952160
-0.79250000,0.07038462,0.05987520
-0.79000000,0.07076923,0.06023189
-0.78750000,0.07115385,0.06059172
-0.78500000,0.07153846,0.06095470
-0.78250000,0.07192308,0.06132089
-0.78000000,0.07230769,0.06169031
-0.77750000,0.07269231,0.06206301
-0.77500000,0.07307692,0.06243902
-0.77250000,0.07346154,0.06281839
-0.77000000,0.07384615,0.06320114
-0.76750000,0.07423077,0.06358732
-0.76500000,0.07461538,0.06397697
-0.76250000,0.07500000,0.06437013
-0.76000000,0.07538462,0.06476684
-0.75750000,0.07576923,0.06516714
-0.75500000,0.07615385,0.06557108
-0.75250000,0.07653846,0.06597870
-0.75000000,0.07692308,0.06639004
-0.74750000,0.07730769,0.06680515
-0.74500000,0.07769231,0.06722407
-0.74250000,0.07807692,0.06764684
-0.74000000,0.07846154,0.06807352
-0.73750000,0.07884615,0.06850415
-0.73500000,0.07923077,0.06893877
-0.73250000,0.07961538,0.06937745
-0.73000000,0.08000000,0.06982021
-0.72750000,0.08038462,0.07026712
-0.72500000,0.08076923,0.07071823
-0.72250000,0.08115385,0.07117359
-0.72000000,0.08153846,0.07163324
-0.71750000,0.08192308,0.07209724
-0.71500000,0.08230769,0.07256565
-0.71250000,0.08269231,0.07303852
-0.71000000,0.08307692,0.07351590
-0.70750000,0.08346154,0.07399785
-0.70500000,0.08384615,0.07448443
-0.70250000,0.08423077,0.07497569
