x,BSpline3_NATURAL,BSpline3_COMPLETE,BSpline3_NOT_A_KNOT,BSpline3_SECOND,f_exact(x)
-1.00000000,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154
-0.99750000,0.03865403,0.03864711,0.03864735,0.03864708,0.03864711
-0.99500000,0.03884662,0.03883400,0.03883445,0.03883395,0.03883401
-0.99250000,0.03903941,0.03902223,0.03902284,0.03902217,0.03902225
-0.99000000,0.03923249,0.03921182,0.03921255,0.03921174,0.03921184
-0.98750000,0.03942595,0.03940277,0.03940358,0.03940268,0.03940280
-0.98500000,0.03961990,0.03959510,0.03959597,0.03959500,0.03959514
-0.98250000,0.03981443,0.03978882,0.03978972,0.03978872,0.03978887
-0.98000000,0.04000964,0.03998395,0.03998486,0.03998385,0.03998401
-0.97750000,0.04020562,0.04018050,0.04018139,0.04018041,0.04018056
-0.97500000,0.04040248,0.04037849,0.04037934,0.04037840,0.04037855
-0.97250000,0.04060030,0.04057792,0.04057871,0.04057784,0.04057798
-0.97000000,0.04079919,0.04077882,0.04077954,0.04077874,0.04077888
-0.96750000,0.04099924,0.04098120,0.04098183,0.04098113,0.04098124
-0.96500000,0.04120056,0.04118506,0.04118561,0.04118500,0.04118510
-0.96250000,0.04140323,0.04139043,0.04139088,0.04139038,0.04139046
-0.96000000,0.04160735,0.04159732,0.04159767,0.04159728,0.04159734
-0.95750000,0.04181302,0.04180573,0.04180599,0.04180571,0.04180575
-0.95500000,0.04202035,0.04201570,0.04201586,0.04201568,0.04201570
-0.95250000,0.04222941,0.04222722,0.04222730,0.04222721,0.04222722
-0.95000000,0.04244032,0.04244032,0.04244032,0.04244032,0.04244032
-0.94750000,0.04265315,0.04265500,0.04265494,0.04265501,0.04265501
-0.94500000,0.04286791,0.04287129,0.04287117,0.04287130,0.04287131
-0.94250000,0.04308460,0.04308920,0.04308904,0.04308922,0.04308923
-0.94000000,0.04330321,0.04330875,0.04330855,0.04330877,0.04330879
-0.93750000,0.04352374,0.04352996,0.04352974,0.04352998,0.04353001
-0.93500000,0.04374619,0.04375284,0.04375260,0.04375286,0.04375291
-0.93250000,0.04397055,0.04397741,0.04397717,0.04397744,0.04397749
-0.93000000,0.04419681,0.04420369,0.04420345,0.04420372,0.04420378
-0.92750000,0.04442497,0.04443170,0.04443147,0.04443173,0.04443179
-0.92500000,0.04465503,0.04466146,0.04466123,0.04466148,0.04466155
-0.92250000,0.04488698,0.04489298,0.04489277,0.04489300,0.04489306
-0.92000000,0.04512082,0.04512627,0.04512608,0.04512629,0.04512635
-0.91750000,0.04535653,0.04536137,0.04536120,0.04536139,0.04536144
-0.91500000,0.04559412,0.04559828,0.04559813,0.04559829,0.04559834
-0.91250000,0.04583359,0.04583702,0.04583690,0.04583703,0.04583706
-0.91000000,0.04607492,0.04607761,0.04607751,0.04607762,0.04607764
-0.90750000,0.04631811,0.04632007,0.04632000,0.04632008,0.04632009
-0.90500000,0.04656317,0.04656441,0.04656437,0.04656442,0.04656442
-0.90250000,0.04681007,0.04681066,0.04681064,0.04681066,0.04681066
-0.90000000,0.04705882,0.04705882,0.04705882,0.04705882,0.04705882
-0.89750000,0.04730943,0.04730893,0.04730895,0.04730893,0.04730893
-0.89500000,0.04756190,0.04756099,0.04756102,0.04756099,0.04756101
-0.89250000,0.04781627,0.04781504,0.04781508,0.04781503,0.04781508
-0.89000000,0.04807258,0.04807109,0.04807114,0.04807109,0.04807115
-0.88750000,0.04833084,0.04832917,0.04832923,0.04832917,0.04832924
-0.88500000,0.04859108,0.04858930,0.04858936,0.04858929,0.04858939
-0.88250000,0.04885334,0.04885150,0.04885157,0.04885150,0.04885161
-0.88000000,0.04911765,0.04911580,0.04911587,0.04911580,0.04911591
-0.87750000,0.04938402,0.04938222,0.04938228,0.04938221,0.04938234
-0.87500000,0.04965250,0.04965077,0.04965084,0.04965077,0.04965089
-0.87250000,0.04992310,0.04992149,0.04992155,0.04992149,0.04992161
-0.87000000,0.05019586,0.05019440,0.05019445,0.05019439,0.05019450
-0.86750000,0.05047081,0.05046951,0.05046956,0.05046951,0.05046960
-0.86500000,0.05074797,0.05074685,0.05074689,0.05074685,0.05074693
-0.86250000,0.05102737,0.05102645,0.05102648,0.05102645,0.05102651
-0.86000000,0.05130904,0.05130832,0.05130835,0.05130832,0.05130836
-0.85750000,0.05159302,0.05159249,0.05159251,0.05159249,0.05159252
-0.85500000,0.05187932,0.05187898,0.05187899,0.05187898,0.05187899
-0.85250000,0.05216797,0.05216782,0.05216782,0.05216782,0.05216782
-0.85000000,0.05245902,0.05245902,0.05245902,0.05245902,0.05245902
-0.84750000,0.05275247,0.05275261,0.05275260,0.05275261,0.05275261
-0.84500000,0.05304837,0.05304861,0.05304860,0.05304861,0.05304864
-0.84250000,0.05334673,0.05334707,0.05334705,0.05334707,0.05334711
-0.84000000,0.05364760,0.05364799,0.05364798,0.05364800,0.05364807
-0.83750000,0.05395098,0.05395143,0.05395141,0.05395143,0.05395153
-0.83500000,0.05425692,0.05425740,0.05425738,0.05425740,0.05425752
-0.83250000,0.05456544,0.05456593,0.05456592,0.05456594,0.05456607
-0.83000000,0.05487657,0.05487706,0.05487704,0.05487706,0.05487721
-0.82750000,0.05519033,0.05519081,0.05519079,0.05519081,0.05519097
-0.82500000,0.05550675,0.05550721,0.05550720,0.05550721,0.05550737
-0.82250000,0.05582586,0.05582629,0.05582628,0.05582630,0.05582645
-0.82000000,0.05614770,0.05614809,0.05614807,0.05614809,0.05614823
-0.81750000,0.05647227,0.05647262,0.05647261,0.05647262,0.05647275
-0.81500000,0.05679963,0.05679992,0.05679991,0.05679993,0.05680003
-0.81250000,0.05712978,0.05713002,0.05713002,0.05713003,0.05713010
-0.81000000,0.05746276,0.05746295,0.05746295,0.05746295,0.05746301
-0.80750000,0.05779860,0.05779874,0.05779873,0.05779874,0.05779877
-0.80500000,0.05813732,0.05813741,0.05813741,0.05813741,0.05813742
-0.80250000,0.05847896,0.05847900,0.05847900,0.05847900,0.05847900
-0.80000000,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353
-0.79750000,0.05917107,0.05917104,0.05917104,0.05917104,0.05917105
-0.79500000,0.05952162,0.05952156,0.05952156,0.05952156,0.05952160
-0.79250000,0.05987522,0.05987513,0.05987513,0.05987513,0.05987520
-0.79000000,0.06023190,0.06023179,0.06023179,0.06023179,0.06023189
-0.78750000,0.06059170,0.06059158,0.06059159,0.06059158,0.06059172
-0.78500000,0.06095467,0.06095454,0.06095454,0.06095454,0.06095470
-0.78250000,0.06132083,0.06132070,0.06132070,0.06132070,0.06132089
-0.78000000,0.06169024,0.06169011,0.06169011,0.06169011,0.06169031
-0.77750000,0.06206292,0.06206279,0.06206280,0.06206279,0.06206301
-0.77500000,0.06243893,0.06243880,0.06243881,0.06243880,0.06243902
-0.77250000,0.06281829,0.06281817,0.06281818,0.06281817,0.06281839
-0.77000000,0.06320105,0.06320094,0.06320095,0.06320094,0.06320114
-0.76750000,0.06358724,0.06358715,0.06358715,0.06358715,0.06358732
-0.76500000,0.06397691,0.06397683,0.06397683,0.06397682,0.06397697
-0.76250000,0.06437008,0.06437002,0.06437002,0.06437002,0.06437013
-0.76000000,0.06476682,0.06476676,0.06476677,0.06476676,0.06476684
-0.75750000,0.06516714,0.06516710,0.06516710,0.06516710,0.06516714
-0.75500000,0.06557109,0.06557107,0.06557107,0.06557107,0.06557108
-0.75250000,0.06597871,0.06597870,0.06597870,0.06597870,0.06597870
-0.75000000,0.06639004,0.06639004,0.06639004,0.06639004,0.06639004
-0.74750000,0.06680512,0.06680513,0.06680513,0.06680513,0.06680515
-0.74500000,0.06722400,0.06722401,0.06722401,0.06722401,0.06722407
-0.74250000,0.06764672,0.06764675,0.06764674,0.06764675,0.06764684
-0.74000000,0.06807335,0.06807338,0.06807338,0.06807338,0.06807352
-0.73750000,0.06850393,0.06850396,0.06850396,0.06850396,0.06850415
-0.73500000,0.06893851,0.06893854,0.06893854,0.06893854,0.06893877
-0.73250000,0.06937714,0.06937718,0.06937718,0.06937718,0.06937745
-0.73000000,0.06981989,0.06981992,0.06981992,0.06981992,0.06982021
-0.72750000,0.07026679,0.07026682,0.07026682,0.07026682,0.07026712
-0.72500000,0.07071789,0.07071793,0.07071792,0.07071793,0.07071823
-0.72250000,0.07117326,0.07117329,0.07117329,0.07117329,0.07117359
-0.72000000,0.07163294,0.07163296,0.07163296,0.07163296,0.07163324
-0.71750000,0.07209698,0.07209700,0.07209700,0.07209700,0.07209724
-0.71500000,0.07256543,0.07256545,0.07256545,0.07256545,0.07256565
-0.71250000,0.07303835,0.07303836,0.07303836,0.07303836,0.07303852
-0.71000000,0.07351578,0.07351579,0.07351579,0.07351579,0.07351590
-0.70750000,0.07399778,0.07399779,0.07399779,0.07399779,0.07399785
-0.70500000,0.07448440,0.07448441,0.07448441,0.07448441,0.07448443
-0.70250000,0.07497569,0.07497569,0.07497569,0.07497569,0.07497569
-0.70000000,0.07547170,0.07547170,0.07547170,0.07547170,0.07547170
-0.69750000,0.07597248,0.07597248,0.07597248,0.07597248,0.07597251
-0.69500000,0.07647811,0.07647810,0.07647810,0.07647810,0.07647818
-0.69250000,0.07698865,0.07698864,0.07698864,0.07698864,0.07698878
-0.69000000,0.07750417,0.07750416,0.07750416,0.07750416,0.07750436
-0.68750000,0.07802473,0.07802472,0.07802473,0.07802472,0.07802499
-0.68500000,0.07855042,0.07855041,0.07855041,0.07855041,0.07855074
-0.68250000,0.07908130,0.07908129,0.07908129,0.07908129,0.07908166
-0.68000000,0.07961743,0.07961742,0.07961742,0.07961742,0.07961783
-0.67750000,0.08015890,0.08015889,0.08015889,0.08015889,0.08015932
-0.67500000,0.08070576,0.08070575,0.08070575,0.08070575,0.08070618
-0.67250000,0.08125808,0.08125807,0.08125807,0.08125807,0.08125849
-0.67000000,0.08181595,0.08181594,0.08181594,0.08181594,0.08181632
-0.66750000,0.08237941,0.08237941,0.08237941,0.08237941,0.08237974
-0.66500000,0.08294856,0.08294855,0.08294855,0.08294855,0.08294883
-0.66250000,0.08352345,0.08352344,0.08352344,0.08352344,0.08352365
-0.66000000,0.08410415,0.08410414,0.08410414,0.08410414,0.08410429
-0.65750000,0.08469073,0.08469073,0.08469073,0.08469073,0.08469081
-0.65500000,0.08528327,0.08528327,0.08528327,0.08528327,0.08528330
-0.65250000,0.08588183,0.08588183,0.08588183,0.08588183,0.08588183
