x,PPForm3_NATURAL,PPForm3_COMPLETE,PPForm3_NOT_A_KNOT,PPForm3_SECOND,f_exact(x)
-1.00000000,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154
-0.99750000,0.03815792,0.03864122,0.03596619,0.03809764,0.03864711
-0.99500000,0.03785447,0.03881059,0.03351846,0.03773521,0.03883401
-0.99250000,0.03755133,0.03896991,0.03111814,0.03737439,0.03902225
-0.99000000,0.03724868,0.03911941,0.02876500,0.03701535,0.03921184
-0.98750000,0.03694668,0.03925934,0.02645883,0.03665822,0.03940280
-0.98500000,0.03664548,0.03938994,0.02419942,0.03630316,0.03959514
-0.98250000,0.03634525,0.03951146,0.02198655,0.03595033,0.03978887
-0.98000000,0.03604615,0.03962415,0.01982000,0.03559986,0.03998401
-0.97750000,0.03574834,0.03972825,0.01769956,0.03525192,0.04018056
-0.97500000,0.03545199,0.03982400,0.01562500,0.03490666,0.04037855
-0.97250000,0.03515724,0.03991164,0.01359612,0.03456422,0.04057798
-0.97000000,0.03486427,0.03999143,0.01161269,0.03422475,0.04077888
-0.96750000,0.03457324,0.04006361,0.00967451,0.03388841,0.04098124
-0.96500000,0.03428430,0.04012842,0.00778135,0.03355535,0.04118510
-0.96250000,0.03399762,0.04018610,0.00593299,0.03322572,0.04139046
-0.96000000,0.03371336,0.04023690,0.00412923,0.03289967,0.04159734
-0.95750000,0.03343168,0.04028107,0.00236984,0.03257734,0.04180575
-0.95500000,0.03315275,0.04031885,0.00065462,0.03225890,0.04201570
-0.95250000,0.03287671,0.04035048,-0.00101667,0.03194450,0.04222722
-0.95000000,0.03260374,0.04037621,-0.00264423,0.03163427,0.04244032
-0.94750000,0.03233400,0.04039628,-0.00422828,0.03132838,0.04265501
-0.94500000,0.03206765,0.04041095,-0.00576904,0.03102697,0.04287131
-0.94250000,0.03180484,0.04042044,-0.00726672,0.03073020,0.04308923
-0.94000000,0.03154575,0.04042501,-0.00872154,0.03043822,0.04330879
-0.93750000,0.03129053,0.04042491,-0.01013371,0.03015118,0.04353001
-0.93500000,0.03103933,0.04042037,-0.01150346,0.02986922,0.04375291
-0.93250000,0.03079234,0.04041164,-0.01283100,0.02959250,0.04397749
-0.93000000,0.03054970,0.04039896,-0.01411654,0.02932118,0.04420378
-0.92750000,0.03031157,0.04038259,-0.01536030,0.02905539,0.04443179
-0.92500000,0.03007812,0.04036276,-0.01656250,0.02879530,0.04466155
-0.92250000,0.02984952,0.04033972,-0.01772335,0.02854106,0.04489306
-0.92000000,0.02962591,0.04031372,-0.01884308,0.02829280,0.04512635
-0.91750000,0.02940747,0.04028499,-0.01992189,0.02805069,0.04536144
-0.91500000,0.02919434,0.04025379,-0.02096000,0.02781488,0.04559834
-0.91250000,0.02898671,0.04022035,-0.02195763,0.02758551,0.04583706
-0.91000000,0.02878472,0.04018492,-0.02291500,0.02736275,0.04607764
-0.90750000,0.02858853,0.04014776,-0.02383232,0.02714673,0.04632009
-0.90500000,0.02839832,0.04010909,-0.02470981,0.02693761,0.04656442
-0.90250000,0.02821423,0.04006917,-0.02554768,0.02673554,0.04681066
-0.90000000,0.02803644,0.04002824,-0.02634615,0.02654068,0.04705882
-0.89750000,0.02786510,0.03998655,-0.02710544,0.02635316,0.04730893
-0.89500000,0.02770037,0.03994433,-0.02782577,0.02617315,0.04756101
-0.89250000,0.02754241,0.03990184,-0.02850734,0.02600080,0.04781508
-0.89000000,0.02739140,0.03985932,-0.02915038,0.02583625,0.04807115
-0.88750000,0.02724748,0.03981701,-0.02975511,0.02567966,0.04832924
-0.88500000,0.02711082,0.03977516,-0.03032173,0.02553117,0.04858939
-0.88250000,0.02698158,0.03973401,-0.03085047,0.02539094,0.04885161
-0.88000000,0.02685992,0.03969381,-0.03134154,0.02525912,0.04911591
-0.87750000,0.02674600,0.03965481,-0.03179516,0.02513586,0.04938234
-0.87500000,0.02663999,0.03961723,-0.03221154,0.02502132,0.04965089
-0.87250000,0.02654205,0.03958134,-0.03259090,0.02491563,0.04992161
-0.87000000,0.02645233,0.03954738,-0.03293346,0.02481896,0.05019450
-0.86750000,0.02637100,0.03951558,-0.03323944,0.02473145,0.05046960
-0.86500000,0.02629822,0.03948620,-0.03350904,0.02465325,0.05074693
-0.86250000,0.02623415,0.03945948,-0.03374249,0.02458453,0.05102651
-0.86000000,0.02617895,0.03943566,-0.03394000,0.02452541,0.05130836
-0.85750000,0.02613278,0.03941500,-0.03410179,0.02447607,0.05159252
-0.85500000,0.02609581,0.03939772,-0.03422808,0.02443664,0.05187899
-0.85250000,0.02606820,0.03938408,-0.03431907,0.02440728,0.05216782
-0.85000000,0.02605010,0.03937433,-0.03437500,0.02438815,0.05245902
-0.84750000,0.02604168,0.03936870,-0.03439607,0.02437938,0.05275261
-0.84500000,0.02604310,0.03936744,-0.03438250,0.02438114,0.05304864
-0.84250000,0.02605453,0.03937080,-0.03433451,0.02439356,0.05334711
-0.84000000,0.02607611,0.03937902,-0.03425231,0.02441682,0.05364807
-0.83750000,0.02610802,0.03939235,-0.03413612,0.02445104,0.05395153
-0.83500000,0.02615042,0.03941102,-0.03398615,0.02449640,0.05425752
-0.83250000,0.02620346,0.03943529,-0.03380263,0.02455303,0.05456607
-0.83000000,0.02626731,0.03946540,-0.03358577,0.02462109,0.05487721
-0.82750000,0.02634213,0.03950159,-0.03333578,0.02470072,0.05519097
-0.82500000,0.02642807,0.03954411,-0.03305288,0.02479209,0.05550737
-0.82250000,0.02652531,0.03959320,-0.03273730,0.02489533,0.05582645
-0.82000000,0.02663401,0.03964911,-0.03238923,0.02501061,0.05614823
-0.81750000,0.02675432,0.03971208,-0.03200891,0.02513807,0.05647275
-0.81500000,0.02688640,0.03978236,-0.03159654,0.02527786,0.05680003
-0.81250000,0.02703042,0.03986019,-0.03115234,0.02543014,0.05713010
-0.81000000,0.02718654,0.03994582,-0.03067654,0.02559505,0.05746301
-0.80750000,0.02735492,0.04003948,-0.03016934,0.02577275,0.05779877
-0.80500000,0.02753572,0.04014143,-0.02963096,0.02596338,0.05813742
-0.80250000,0.02772910,0.04025191,-0.02906162,0.02616710,0.05847900
-0.80000000,0.02793522,0.04037117,-0.02846154,0.02638406,0.05882353
-0.79750000,0.02815425,0.04049944,-0.02783093,0.02661441,0.05917105
-0.79500000,0.02838635,0.04063698,-0.02717000,0.02685831,0.05952160
-0.79250000,0.02863167,0.04078402,-0.02647898,0.02711589,0.05987520
-0.79000000,0.02889038,0.04094081,-0.02575808,0.02738731,0.06023189
-0.78750000,0.02916265,0.04110761,-0.02500751,0.02767273,0.06059172
-0.78500000,0.02944862,0.04128464,-0.02422750,0.02797229,0.06095470
-0.78250000,0.02974847,0.04147216,-0.02341826,0.02828615,0.06132089
