x,BSpline2,f_exact(x)
-5.00000000,0.03846154,0.03846154
-4.95000000,0.03919898,0.03921184
-4.90000000,0.03996359,0.03998401
-4.85000000,0.04075538,0.04077888
-4.80000000,0.04157434,0.04159734
-4.75000000,0.04242048,0.04244032
-4.70000000,0.04329380,0.04330879
-4.65000000,0.04419429,0.04420378
-4.60000000,0.04512196,0.04512635
-4.55000000,0.04607680,0.04607764
-4.50000000,0.04705882,0.04705882
-4.45000000,0.04806802,0.04807115
-4.40000000,0.04910439,0.04911591
-4.35000000,0.05016794,0.05019450
-4.30000000,0.05125866,0.05130836
-4.25000000,0.05237656,0.05245902
-4.20000000,0.05352164,0.05364807
-4.15000000,0.05469389,0.05487721
-4.10000000,0.05589331,0.05614823
-4.05000000,0.05711992,0.05746301
-4.00000000,0.05837369,0.05882353
-3.95000000,0.05968530,0.06023189
-3.90000000,0.06108540,0.06169031
-3.85000000,0.06257398,0.06320114
-3.80000000,0.06415105,0.06476684
-3.75000000,0.06581661,0.06639004
-3.70000000,0.06757065,0.06807352
-3.65000000,0.06941319,0.06982021
-3.60000000,0.07134420,0.07163324
-3.55000000,0.07336371,0.07351590
-3.50000000,0.07547170,0.07547170
-3.45000000,0.07766818,0.07750436
-3.40000000,0.07995314,0.07961783
-3.35000000,0.08232659,0.08181632
-3.30000000,0.08478853,0.08410429
-3.25000000,0.08733896,0.08648649
-3.20000000,0.08997787,0.08896797
-3.15000000,0.09270527,0.09155413
-3.10000000,0.09552115,0.09425071
-3.05000000,0.09842552,0.09706382
-3.00000000,0.10141838,0.10000000
-2.95000000,0.10451690,0.10306622
-2.90000000,0.10773825,0.10626993
-2.85000000,0.11108244,0.10961907
-2.80000000,0.11454945,0.11312217
-2.75000000,0.11813930,0.11678832
-2.70000000,0.12185198,0.12062726
-2.65000000,0.12568750,0.12464942
-2.60000000,0.12964584,0.12886598
-2.55000000,0.13372702,0.13328890
-2.50000000,0.13793103,0.13793103
-2.45000000,0.14225788,0.14280614
-2.40000000,0.14670756,0.14792899
-2.35000000,0.15128006,0.15331545
-2.30000000,0.15597541,0.15898251
-2.25000000,0.16079358,0.16494845
-2.20000000,0.16573459,0.17123288
-2.15000000,0.17079843,0.17785683
-2.10000000,0.17598510,0.18484288
-2.05000000,0.18129460,0.19221528
-2.00000000,0.18672694,0.20000000
-1.95000000,0.19288097,0.20822488
-1.90000000,0.20035556,0.21691974
-1.85000000,0.20915071,0.22611645
-1.80000000,0.21926641,0.23584906
-1.75000000,0.23070267,0.24615385
-1.70000000,0.24345948,0.25706941
-1.65000000,0.25753685,0.26863667
-1.60000000,0.27293478,0.28089888
-1.55000000,0.28965327,0.29390154
-1.50000000,0.30769231,0.30769231
-1.45000000,0.32705191,0.32232071
-1.40000000,0.34773206,0.33783784
-1.35000000,0.36973277,0.35429584
-1.30000000,0.39305404,0.37174721
-1.25000000,0.41769587,0.39024390
-1.20000000,0.44365825,0.40983607
-1.15000000,0.47094119,0.43057051
-1.10000000,0.49954468,0.45248869
-1.05000000,0.52946874,0.47562426
-1.00000000,0.56071335,0.50000000
-0.95000000,0.59182061,0.52562418
-0.90000000,0.62133263,0.55248619
-0.85000000,0.64924941,0.58055152
-0.80000000,0.67557094,0.60975610
-0.75000000,0.70029723,0.64000000
-0.70000000,0.72342827,0.67114094
-0.65000000,0.74496407,0.70298770
-0.60000000,0.76490462,0.73529412
-0.55000000,0.78324993,0.76775432
-0.50000000,0.80000000,0.80000000
-0.45000000,0.81515482,0.83160083
-0.40000000,0.82871440,0.86206897
-0.35000000,0.84067873,0.89086860
-0.30000000,0.85104782,0.91743119
-0.25000000,0.85982166,0.94117647
-0.20000000,0.86700026,0.96153846
-0.15000000,0.87258362,0.97799511
-0.10000000,0.87657173,0.99009901
-0.05000000,0.87896460,0.99750623
0.00000000,0.87976222,1.00000000
0.05000000,0.87896460,0.99750623
0.10000000,0.87657173,0.99009901
0.15000000,0.87258362,0.97799511
0.20000000,0.86700026,0.96153846
0.25000000,0.85982166,0.94117647
0.30000000,0.85104782,0.91743119
0.35000000,0.84067873,0.89086860
0.40000000,0.82871440,0.86206897
0.45000000,0.81515482,0.83160083
0.50000000,0.80000000,0.80000000
0.55000000,0.78324993,0.76775432
0.60000000,0.76490462,0.73529412
0.65000000,0.74496407,0.70298770
0.70000000,0.72342827,0.67114094
0.75000000,0.70029723,0.64000000
0.80000000,0.67557094,0.60975610
0.85000000,0.64924941,0.58055152
0.90000000,0.62133263,0.55248619
0.95000000,0.59182061,0.52562418
1.00000000,0.56071335,0.50000000
1.05000000,0.52946874,0.47562426
1.10000000,0.49954468,0.45248869
1.15000000,0.47094119,0.43057051
1.20000000,0.44365825,0.40983607
1.25000000,0.41769587,0.39024390
1.30000000,0.39305404,0.37174721
1.35000000,0.36973277,0.35429584
1.40000000,0.34773206,0.33783784
1.45000000,0.32705191,0.32232071
1.50000000,0.30769231,0.30769231
1.55000000,0.28965327,0.29390154
1.60000000,0.27293478,0.28089888
1.65000000,0.25753685,0.26863667
1.70000000,0.24345948,0.25706941
1.75000000,0.23070267,0.24615385
1.80000000,0.21926641,0.23584906
1.85000000,0.20915071,0.22611645
1.90000000,0.20035556,0.21691974
1.95000000,0.19288097,0.20822488
2.00000000,0.18672694,0.20000000
2.05000000,0.18129460,0.19221528
2.10000000,0.17598510,0.18484288
2.15000000,0.17079843,0.17785683
2.20000000,0.16573459,0.17123288
2.25000000,0.16079358,0.16494845
2.30000000,0.15597541,0.15898251
2.35000000,0.15128006,0.15331545
2.40000000,0.14670756,0.14792899
2.45000000,0.14225788,0.14280614
2.50000000,0.13793103,0.13793103
2.55000000,0.13372702,0.13328890
2.60000000,0.12964584,0.12886598
2.65000000,0.12568750,0.12464942
2.70000000,0.12185198,0.12062726
2.75000000,0.11813930,0.11678832
2.80000000,0.11454945,0.11312217
2.85000000,0.11108244,0.10961907
2.90000000,0.10773825,0.10626993
2.95000000,0.10451690,0.10306622
3.00000000,0.10141838,0.10000000
3.05000000,0.09842552,0.09706382
3.10000000,0.09552115,0.09425071
3.15000000,0.09270527,0.09155413
3.20000000,0.08997787,0.08896797
3.25000000,0.08733896,0.08648649
3.30000000,0.08478853,0.08410429
3.35000000,0.08232659,0.08181632
3.40000000,0.07995314,0.07961783
3.45000000,0.07766818,0.07750436
3.50000000,0.07547170,0.07547170
3.55000000,0.07336371,0.07351590
3.60000000,0.07134420,0.07163324
3.65000000,0.06941319,0.06982021
3.70000000,0.06757065,0.06807352
3.75000000,0.06581661,0.06639004
3.80000000,0.06415105,0.06476684
3.85000000,0.06257398,0.06320114
3.90000000,0.06108540,0.06169031
3.95000000,0.05968530,0.06023189
4.00000000,0.05837369,0.05882353
4.05000000,0.05711992,0.05746301
4.10000000,0.05589331,0.05614823
4.15000000,0.05469389,0.05487721
4.20000000,0.05352164,0.05364807
4.25000000,0.05237656,0.05245902
4.30000000,0.05125866,0.05130836
4.35000000,0.05016794,0.05019450
4.40000000,0.04910439,0.04911591
4.45000000,0.04806802,0.04807115
4.50000000,0.04705882,0.04705882
4.55000000,0.04607680,0.04607764
4.60000000,0.04512196,0.04512635
4.65000000,0.04419429,0.04420378
4.70000000,0.04329380,0.04330879
4.75000000,0.04242048,0.04244032
4.80000000,0.04157434,0.04159734
4.85000000,0.04075538,0.04077888
4.90000000,0.03996359,0.03998401
4.95000000,0.03919898,0.03921184
5.00000000,0.03846154,0.03846154
